contenido,tipo
"""En un medio que cada vez es más competitivo, vale la pena recordar que la sostenibilidad de una marca se basa en la transparencia y el compromis...",economia
"Alejandro Jiménez hace un diagnóstico del sector telecomunicaciones en el 2018, qué debe hacer en el 2019 y qué errores no deben repetir los oper...",economia
"La economía más industrializada del continente africano contará con un salario mínimo de US$1,39 por hora. El 70% de trabajadores agrícolas y el ...",economia
"En el 2019, el Servicio Nacional de Sanidad Agraria (Senasa) trabajará en la apertura fitosanitaria de más frutas frescas. ¿Qué retos implica?",economia
"Este resultado positivo del cemento se debió a la ejecución de obras en empresas mineras, edificios empresariales y viviendas",economia
"El acuerdo ha permitido la modernización de la planta productiva manufacturera mexicana, también de los sectores agropecuario y agroindustrial",economia
"La tasa anualizada es superior al 1,36% del 2017, que fue la menor en ocho años, aunque es inferior al 3,23% del 2016",economia
Requejo tiene 20 años de experiencia en el sector público y entre las funciones asumidas antes destaca que fue viceministro de pesca y acuicultur...,economia
"Los Juegos Panamericanos, el Dakar y otros eventos impulsarían a que el turismo crezca 9%. Pero aún hay retos",economia
"Las inversiones en nuevos ‘malls’ en Lima, la mayor expansión de los formatos modernos y el e-commerce dinamizarán el sector en el 2019",economia
"""No puedes ordenar amabilidad a tus empleados, pero sí los puedes contagiar con ella; generando un efecto dominó que alcance, positivamente, a tu...",economia
"El 2019 llega con retos grandes, alineados a la alimentación saludable. Consumo crecería 2% en volumen",economia
"""El desconocimiento sobre el valor de la empresa a vender o la inexperiencia de los asesores del proceso pueden provocar el fracaso de las negoci...",economia
El creador de Fortniteamasó una fortuna de US$7.200 millones este año e ingresóal índice de multimillonarios de Bloomberg en 2018.Mark Zuckerberg...,economia
Intensidad competitiva del sector llevó a los operadores de telefonía móvil una desgastante guerra de precios que afectó las ganancias y rentabil...,economia
"El rally, las estrategias de las marcas de autos y el desempeño económico harían que el sector crezca este año",economia
Ejecutivo oficializa plan a través de decreto supremo e incluye el medio ambiente como política para impulsar el crecimiento,economia
Medida había sido tomada a fines de octubre por el Banco Central de Reserva (BCR). Para los pagos en efectivo que consignen un precio con decimal...,economia
"“Los problemas estructurales se mantienen, pero a pesar de ello el 2019 no debe resultar adverso”, señala Juan José Marthans, economista del PAD-...",economia
"La digitalización de los servicios públicos y privados en salud estará en la agenda. Así, el sector público busca proyectar la demanda real.",economia
"Abogados consideran que la demanda se mantendrá, pero con matices en el tipo de asesoría y la forma de brindarla",economia
"Los valores bancarios, tecnológicos y del sector energético propiciaron el alza de los principales indicadores de la Bolsa de Nueva York",economia
"El pago de la indemnización a Eletrobras, el mayor grupo eléctrico de América Latina, fue fruto de un acuerdo que Odebrecht firmó con autoridades...",economia
"La caída de acciones mineras motivaron el descenso del índice selectivo,lo cual fue contrarrestado por el avance de títulos de Credicorp en el in...",economia
"El dólar cayó un 0,54 % al cierre de la jornada cambiaria a su peor nivel en más de dos meses, revirtiendo sus ganancias iniciales",economia
"La nueva ministra de Trabajo, Sylvia Cáceres, asumió la cartera con un enorme desafío para el 2019",economia
"Paulo Guedes consideró que la reforma del sistema de pensiones será el ""primer y mayor"" desafío de su gestión ya que, a su juicio, se trata de un...",economia
"Sin embargo, la expectativa de Lima Airport Partners (LAP), empresa operadora del aeropuerto, era alcanzaruna cifra mayor a los 22,6 millones al ...",economia
El Banco Central de China señaló que latendencia de ralentización económica continúa ante dificultades que enfrentan las empresas locales,economia
"El dólar se depreció un 0,13% a precio interbancario pese al alza global de la divisa mientras que en la plaza informal el billete verde cerró si...",economia
Los meses ideales para buscar un nuevo empleo están ligados a semestres claves. Las empresas suelen iniciar su proceso de selección en enero y ab...,economia
"Las acciones de la zona euro bajaron un 0,3% y el índice paneuropeo STOXX 600 perdió un 0,2%, después de recortar fuertes pérdidas previas luego ...",economia
"Conozca aquí el tipo de cambio del dólar a esta hora en el mercado interbancario y paralelo, así como en las ventanillas de los principales banco...",economia
"Se espera que la venta de Christian Pulisic beneficiará las ganancias de todo el año, que ahora serían millones de euros de dos dígitos en lugar ...",economia
"Las entregas de la compañía para todo el 2018 coincidieron con los cálculos de Wall Street, pero sus cifras del cuarto trimestre estuvieron debaj...",economia
La divulgación del indicador de optimismo se produjo un día después de la investidura como nuevo presidente de Brasil de Jair Bolsonaro,economia
"Las preocupaciones sobre el crecimiento global acercaban a inversionistas a los activos considerados refugio, impulsando el precio del dólar",economia
Operadores dijeron que el mercado se encuentra levemente tomador por cuestiones estacionales en un contexto de negocios reducidos,economia
"Tras el acuerdo mega-regional, el Perú tendráacceso preferencial a mercados de Nueva Zelanda y Brunéi para exportar sus principales productos; co...",economia
"La gerenta general de Perú 2021 y directora ejecutiva de L+1,Micaela Rizo Patrón, realiza un balance los avances respecto a la Agenda 2030. Cambi...",economia
"Los trabajadores solo podrán deducir el 15% de sus gastos en consumos por servicios de hoteles, restaurantes y bares siempre que se identifiquen ...",economia
El vicepresidente de Servicios Digitales para Ericsson Sudamérica explica los avances en transformación digital que están desplegando los operado...,economia
"Las bolsas mundiales iniciaron 2019 con un tono pesimista, los precios de bonos y crudo caían y el yen se fortalecía luego de que una serie de re...",economia
"La actividad manufacturera de China se contrajo por primera vez en 19 meses en diciembre, de acuerdo a una encuesta privada",economia
El permiso para extraer el recurso se extiende hasta que se alcance la cuota máxima de captura o hasta el 30 de junio de este año,economia
"Mientras que la libra y el euro lidiaron con el ‘brexit’ y la crisis presupuestaria de Italia, el yen anotó un mejor desempeño",economia
"“No podemos darnos el lujo de que la rigidez del mercado de trabajo siga siendo un obstáculo para reducir la informalidad”, señala el socio de im...",economia
"Durante el 2018, los precios al consumidor en Lima Metropolitana sin alimentos y energía subieron 2,21%, por encima del resultado total (2,19%)",economia
"Canadá exportó un récord de 1,34 millones de toneladas métricas de soja a China en noviembre, triplicando las exportaciones del año anterior, seg...",economia
"""Apple nunca fue franco con sus inversores sobre el potencial estancamiento que podría tener su negocio en China"", señala la reportera de Bloombe...",economia
La magnitud de la desaceleración de los ingresos de Apple en el trimestre navideño sacudió al sector tecnológico y arrastró a los tres principale...,economia
"Las acciones mineras cedieron luego que el cobre tocó un mínimo de 18 meses, ante incertidumbre de las relaciones comerciales entre EE.UU. y Chin...",economia
"Según el último estudio del BID y Finnovista, las fintech en las que participan mujeres tienen el foco en potenciar la inclusión financiera",economia
